max_grad_norm,noise_multiplier,learning_rate,epoch,loss
0.1,0.5,0.01,1,2.027
0.1,0.5,0.01,2,1.694
0.1,0.5,0.01,3,1.555
0.1,0.5,0.01,4,1.464
0.1,0.5,0.01,5,1.394
0.1,0.5,0.05,1,2.131
0.1,0.5,0.05,2,1.884
0.1,0.5,0.05,3,1.7
0.1,0.5,0.05,4,1.53
0.1,0.5,0.05,5,1.43
0.1,0.5,0.1,1,2.281
0.1,0.5,0.1,2,2.254
0.1,0.5,0.1,3,1.869
0.1,0.5,0.1,4,1.591
0.1,0.5,0.1,5,1.431
0.1,1.0,0.01,1,2.066
0.1,1.0,0.01,2,1.703
0.1,1.0,0.01,3,1.551
0.1,1.0,0.01,4,1.482
0.1,1.0,0.01,5,1.407
0.1,1.0,0.05,1,2.079
0.1,1.0,0.05,2,1.858
0.1,1.0,0.05,3,1.736
0.1,1.0,0.05,4,1.637
0.1,1.0,0.05,5,1.521
0.1,1.0,0.1,1,2.373
0.1,1.0,0.1,2,2.147
0.1,1.0,0.1,3,1.883
0.1,1.0,0.1,4,1.638
0.1,1.0,0.1,5,1.509
0.1,2.0,0.01,1,2.143
0.1,2.0,0.01,2,1.786
0.1,2.0,0.01,3,1.633
0.1,2.0,0.01,4,1.548
0.1,2.0,0.01,5,1.465
0.1,2.0,0.05,1,2.052
0.1,2.0,0.05,2,1.838
0.1,2.0,0.05,3,1.675
0.1,2.0,0.05,4,1.574
0.1,2.0,0.05,5,1.47
0.1,2.0,0.1,1,2.167
0.1,2.0,0.1,2,2.034
0.1,2.0,0.1,3,1.937
0.1,2.0,0.1,4,1.734
0.1,2.0,0.1,5,1.543
0.5,0.5,0.01,1,2.021
0.5,0.5,0.01,2,1.662
0.5,0.5,0.01,3,1.394
0.5,0.5,0.01,4,1.216
0.5,0.5,0.01,5,1.122
0.5,0.5,0.05,1,2.763
0.5,0.5,0.05,2,2.056
0.5,0.5,0.05,3,1.775
0.5,0.5,0.05,4,1.603
0.5,0.5,0.05,5,1.421
0.5,0.5,0.1,1,3.074
0.5,0.5,0.1,2,1.958
0.5,0.5,0.1,3,1.902
0.5,0.5,0.1,4,1.857
0.5,0.5,0.1,5,1.821
0.5,1.0,0.01,1,1.996
0.5,1.0,0.01,2,1.698
0.5,1.0,0.01,3,1.524
0.5,1.0,0.01,4,1.384
0.5,1.0,0.01,5,1.272
0.5,1.0,0.05,1,2.239
0.5,1.0,0.05,2,1.884
0.5,1.0,0.05,3,1.719
0.5,1.0,0.05,4,1.514
0.5,1.0,0.05,5,1.383
0.5,1.0,0.1,1,2.869
0.5,1.0,0.1,2,2.206
0.5,1.0,0.1,3,1.79
0.5,1.0,0.1,4,1.679
0.5,1.0,0.1,5,1.621
0.5,2.0,0.01,1,2.011
0.5,2.0,0.01,2,1.682
0.5,2.0,0.01,3,1.601
0.5,2.0,0.01,4,1.53
0.5,2.0,0.01,5,1.437
0.5,2.0,0.05,1,2.294
0.5,2.0,0.05,2,2.29
0.5,2.0,0.05,3,2.052
0.5,2.0,0.05,4,1.867
0.5,2.0,0.05,5,1.848
0.5,2.0,0.1,1,3.095
0.5,2.0,0.1,2,3.061
0.5,2.0,0.1,3,2.364
0.5,2.0,0.1,4,2.151
0.5,2.0,0.1,5,2.031
1.0,0.5,0.01,1,1.952
1.0,0.5,0.01,2,1.552
1.0,0.5,0.01,3,1.355
1.0,0.5,0.01,4,1.208
1.0,0.5,0.01,5,1.065
1.0,0.5,0.05,1,2.712
1.0,0.5,0.05,2,1.97
1.0,0.5,0.05,3,1.764
1.0,0.5,0.05,4,1.544
1.0,0.5,0.05,5,1.355
1.0,0.5,0.1,1,3.16
1.0,0.5,0.1,2,2.016
1.0,0.5,0.1,3,1.908
1.0,0.5,0.1,4,1.868
1.0,0.5,0.1,5,1.826
1.0,1.0,0.01,1,1.973
1.0,1.0,0.01,2,1.725
1.0,1.0,0.01,3,1.55
1.0,1.0,0.01,4,1.421
1.0,1.0,0.01,5,1.305
